date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:00	32942/32942	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:46%20GMT	https://peruoffset.pe/assets/images/clientes/dupre.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/dupre.png	(from https://peruoffset.pe/)
10:57:00	36380/36380	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:52%20GMT	https://peruoffset.pe/assets/images/clientes/life.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/life.png	(from https://peruoffset.pe/)
10:57:00	35198/35198	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:23:00%20GMT	https://peruoffset.pe/assets/images/clientes/vitaline.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/vitaline.png	(from https://peruoffset.pe/)
10:57:00	32079/32079	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:51%20GMT	https://peruoffset.pe/assets/images/clientes/iqfarma.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/iqfarma.png	(from https://peruoffset.pe/)
10:57:00	38465/38465	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:50%20GMT	https://peruoffset.pe/assets/images/clientes/hersil.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/hersil.png	(from https://peruoffset.pe/)
10:57:01	46974/46974	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:47%20GMT	https://peruoffset.pe/assets/images/clientes/glaxo.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/glaxo.png	(from https://peruoffset.pe/)
10:57:01	44902/44902	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:33%20GMT	https://peruoffset.pe/assets/images/clientes/ac-farma.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/ac-farma.png	(from https://peruoffset.pe/)
10:57:01	29149/29149	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:31%20GMT	https://peruoffset.pe/assets/images/clientes/abbott.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/abbott.png	(from https://peruoffset.pe/)
10:57:01	41578/41578	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:43%20GMT	https://peruoffset.pe/assets/images/clientes/cidasa.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/cidasa.png	(from https://peruoffset.pe/)
10:57:02	45480/45480	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:51%20GMT	https://peruoffset.pe/assets/images/clientes/intradevco.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/intradevco.png	(from https://peruoffset.pe/)
10:57:02	44668/44668	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:51%20GMT	https://peruoffset.pe/assets/images/clientes/layconsa.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/layconsa.png	(from https://peruoffset.pe/)
10:57:02	38067/38067	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:46%20GMT	https://peruoffset.pe/assets/images/clientes/fabercastell.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/fabercastell.png	(from https://peruoffset.pe/)
10:57:02	30974/30974	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:22:40%20GMT	https://peruoffset.pe/assets/images/clientes/artesco.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/clientes/artesco.png	(from https://peruoffset.pe/)
10:57:02	8129/8129	---M--	200	added ('OK')	application/javascript	date:Tue,%2008%20Nov%202022%2022:19:32%20GMT	https://peruoffset.pe/jquery.flexisel.js	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/jquery.flexisel.js	(from https://peruoffset.pe/)
10:57:03	235/235	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:23:08%20GMT	https://peruoffset.pe/assets/images/iconos/facebook-red.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/iconos/facebook-red.png	(from https://peruoffset.pe/)
